band, aebv
2mass_j, 0.8857967853546143
2mass_h, 0.5538204908370972
2mass_ks, 0.3624703586101532
denis_i, 1.9314472675323486
denis_j, 0.8857967853546143
denis_ks, 0.3624703586101532
dcmc_i, 1.9314472675323486
dcmc_j, 0.8857967853546143
dcmc_h, 0.5538204908370972
dcmc_ks, 0.3624703586101532
ubv_u, 4.746830940246582
ubv_b, 4.132490158081055
ubv_v, 3.1355738639831543
ubv_r, 2.585101366043091
ubv_i, 1.9314472675323486
ubv_j, 0.8857967853546143
ubv_h, 0.5538204908370972
ubv_k, 0.3624703586101532
sdss_u, 4.833695888519287
sdss_g, 3.879366397857666
sdss_r, 2.7164695262908936
sdss_i, 2.1452019214630127
sdss_z, 1.5153815746307373
stroemgren_v1, 3.1355738639831543
stroemgren_u, 4.942475318908691
stroemgren_v, 4.342769145965576
stroemgren_b, 3.8321492671966553
stroemgren_hb_w, 3.634798765182495
stroemgren_hb_n, 3.664118766784668
stroemgren_y, 3.110980272293091
kepler_ke, 2.482220411300659
kepler_g, 3.879366397857666
kepler_r, 2.7164695262908936
kepler_i, 2.1452019214630127
kepler_z, 1.5153815746307373
kepler_ddo51, 3.404387950897217
kepler_j, 0.8857967853546143
kepler_h, 0.5538204908370972
kepler_ks, 0.3624703586101532
tmasswise_j, 0.8857967853546143
tmasswise_h, 0.5538204908370972
tmasswise_ks, 0.3624703586101532
tmasswise_irac_3.6, 0.15925608575344086
tmasswise_irac_4.5, 0.11119131743907928
tmasswise_irac_5.8, 0.07389651238918304
tmasswise_irac_8.0, 0.04403197020292282
tmasswise_mips_24, 0.007509359624236822
tmasswise_mips_70, 0.0013400936732068658
tmasswise_mips_160, 0.0003540868638083339
tmasswise_w1, 0.17460714280605316
tmasswise_w2, 0.10732550173997879
tmasswise_w3, 0.022922458127141
tmasswise_w4, 0.008638582192361355
tycho_bt, 4.251040458679199
tycho_vt, 3.2797605991363525
gaia_g, 2.4490573406219482
gaia_gbp, 3.2389769554138184
gaia_grp, 1.8986300230026245
tmass_j, 0.8857967853546143
tmass_h, 0.5538204908370972
tmass_ks, 0.3624703586101532
irac_3.6, 0.15925608575344086
irac_4.5, 0.11119131743907928
irac_5.8, 0.07389651238918304
irac_8.0, 0.04403197020292282
mips_24, 0.007509359624236822
mips_70, 0.0013400936732068658
mips_160, 0.0003540868638083339
wise_w1, 0.17460714280605316
wise_w2, 0.10732550173997879
wise_w3, 0.022922458127141
wise_w4, 0.008638582192361355
roman_f062, 2.6047747594979356
roman_f087, 1.590184067493226
roman_f106, 1.1494900377071744
roman_f129, 0.8497104837390523
roman_f146, 0.8030453357720688
roman_f158, 0.6139766869755618
roman_f184, 0.4794285802230718
roman_f213, 0.3803630919762071
roman_prism, 0.9899423448905793
roman_grism, 0.7719715724975771
roman_prism_b, 1.830051929755605
roman_prism_r, 0.5753332443838701
roman_prism_b20, 1.9265152992654748
roman_prism_r20, 0.5310114075380383
roman_grism_b, 1.2114722658491601
roman_grism_r, 0.45410622647361265
roman_grism_b20, 1.2316022814354
roman_grism_r20, 0.4506767894734054
roman_prism_b8, 1.4465174828295275
roman_prism_r8, 0.8298033370141695
roman_grism_b8, 1.1323952608042092
roman_grism_r8, 0.46876598067773045
